table_name,column_name,detected_format
business_product_list,product_id,STRING
business_product_list,product_name,STRING
business_product_list,product_type,STRING
business_product_list,price,NUMERIC_STRING
customer_user_credit_card,user_id,USER_ID
customer_user_credit_card,name,STRING
customer_user_credit_card,credit_card_number,NUMERIC_STRING
customer_user_credit_card,issuing_bank,STRING
customer_user_data,user_id,USER_ID
customer_user_data,creation_date,DATETIME
customer_user_data,name,STRING
customer_user_data,street,STRING
customer_user_data,state,STRING
customer_user_data,city,STRING
customer_user_data,country,STRING
customer_user_data,birthdate,DATETIME
customer_user_data,gender,STRING
customer_user_data,device_address,STRING
customer_user_data,user_type,STRING
customer_user_job,user_id,USER_ID
customer_user_job,name,STRING
customer_user_job,job_title,STRING
customer_user_job,job_level,STRING
enterprise_merchant_data,merchant_id,STRING
enterprise_merchant_data,creation_date,DATETIME
enterprise_merchant_data,name,STRING
enterprise_merchant_data,street,STRING
enterprise_merchant_data,state,STRING
enterprise_merchant_data,city,STRING
enterprise_merchant_data,country,STRING
enterprise_merchant_data,contact_number,STRING
enterprise_order_with_merchant_data1,order_id,STRING
enterprise_order_with_merchant_data1,merchant_id,STRING
enterprise_order_with_merchant_data1,staff_id,STRING
enterprise_order_with_merchant_data2,order_id,STRING
enterprise_order_with_merchant_data2,merchant_id,STRING
enterprise_order_with_merchant_data2,staff_id,STRING
enterprise_order_with_merchant_data3,order_id,STRING
enterprise_order_with_merchant_data3,merchant_id,STRING
enterprise_order_with_merchant_data3,staff_id,STRING
enterprise_staff_data,staff_id,STRING
enterprise_staff_data,name,STRING
enterprise_staff_data,job_level,STRING
enterprise_staff_data,street,STRING
enterprise_staff_data,state,STRING
enterprise_staff_data,city,STRING
enterprise_staff_data,country,STRING
enterprise_staff_data,contact_number,STRING
enterprise_staff_data,creation_date,DATETIME
marketing_campaign_data,	campaign_id	campaign_name	campaign_description	discount,STRING
marketing_transactional_campaign_data,transaction_date,YYYY-MM-DD
marketing_transactional_campaign_data,campaign_id,STRING
marketing_transactional_campaign_data,order_id,STRING
marketing_transactional_campaign_data,estimated arrival,NUM_DAYS
marketing_transactional_campaign_data,availed,NUMERIC_STRING
operations_line_item_data_prices1,order_id,STRING
operations_line_item_data_prices1,price,NUMERIC_STRING
operations_line_item_data_prices1,quantity,STRING
operations_line_item_data_prices2,order_id,STRING
operations_line_item_data_prices2,price,NUMERIC_STRING
operations_line_item_data_prices2,quantity,STRING
operations_line_item_data_prices3,order_id,STRING
operations_line_item_data_prices3,price,NUMERIC_STRING
operations_line_item_data_prices3,quantity,STRING
operations_line_item_data_products1,order_id,STRING
operations_line_item_data_products1,product_name,STRING
operations_line_item_data_products1,product_id,STRING
operations_line_item_data_products2,order_id,STRING
operations_line_item_data_products2,product_name,STRING
operations_line_item_data_products2,product_id,STRING
operations_line_item_data_products3,order_id,STRING
operations_line_item_data_products3,product_name,STRING
operations_line_item_data_products3,product_id,STRING
operations_order_data_20200101-20200701,order_id,STRING
operations_order_data_20200101-20200701,user_id,USER_ID
operations_order_data_20200101-20200701,estimated arrival,NUM_DAYS
operations_order_data_20200101-20200701,transaction_date,YYYY-MM-DD
operations_order_data_20200701-20211001,order_id,STRING
operations_order_data_20200701-20211001,user_id,USER_ID
operations_order_data_20200701-20211001,estimated arrival,NUM_DAYS
operations_order_data_20200701-20211001,transaction_date,YYYY-MM-DD
operations_order_data_20211001-20220101,order_id,STRING
operations_order_data_20211001-20220101,user_id,USER_ID
operations_order_data_20211001-20220101,estimated arrival,NUM_DAYS
operations_order_data_20211001-20220101,transaction_date,YYYY-MM-DD
operations_order_data_20220101-20221201,order_id,STRING
operations_order_data_20220101-20221201,user_id,USER_ID
operations_order_data_20220101-20221201,estimated arrival,NUM_DAYS
operations_order_data_20220101-20221201,transaction_date,YYYY-MM-DD
operations_order_data_20221201-20230601,order_id,STRING
operations_order_data_20221201-20230601,user_id,USER_ID
operations_order_data_20221201-20230601,estimated arrival,NUM_DAYS
operations_order_data_20221201-20230601,transaction_date,YYYY-MM-DD
operations_order_data_20230601-20240101,order_id,STRING
operations_order_data_20230601-20240101,user_id,USER_ID
operations_order_data_20230601-20240101,estimated arrival,NUM_DAYS
operations_order_data_20230601-20240101,transaction_date,YYYY-MM-DD
operations_order_delays,order_id,STRING
operations_order_delays,delay in days,NUMERIC_STRING
