order_id,user_id,estimated arrival,transaction_date
e1beaf61-e687-4e70-bdd4-3ea338139a0b,USER36309,13days,2021-01-01
4cad07a9-dca9-47a0-86f1-f83671d05260,USER46704,5days,2021-09-22
8750f8c5-380c-4bbd-bb54-8a2b5e5958ac,USER32071,10days,2020-07-06
3d77b756-0f11-4145-9fac-8f229611ac39,USER47160,3days,2021-09-25
3312851e-28dc-4508-8003-09ba304ce9e2,USER15307,11days,2020-07-01
2db32f30-db1c-4559-8ed2-bf7f08e0b9af,USER33165,13days,2021-08-16
8d8deda1-f5f8-478b-b4b1-243edc2d728b,USER46883,12days,2021-08-07
65abaa49-3ae1-44bb-8366-ef9d7e264a4c,USER23862,7days,2020-08-28
731e0fa1-c4b3-46d1-9425-cf7a7eeffec8,USER53793,3days,2021-04-27
26b63d67-ff28-4846-b683-e44a7af396df,USER32370,15days,2021-09-11
